ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL_GENE_ID	GENE_NAME	SIGNIFICANT
ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL_GENE_ID	GENE_NAME	SIGNIFICANT
Dr.13563.1.S1_at	2.28191190366744	4.33557780064818	36.9551473209821	1.11879831737434e-07	0.00131033658930882	6.15864933209106	ENSDARG00000102571	metap2b	SIGNIFICANT
Dr.24234.1.S1_at	1.09401171608773	6.00066916945344	24.8951336132814	9.25202501056221e-07	0.00496279986637101	5.41127005922238	ENSDARG00000017744	smc2	SIGNIFICANT
Dr.9892.1.A1_at	1.08269328123414	8.99675693326835	23.4553705064589	1.27120898216471e-06	0.00496279986637101	5.26139589994599	ENSDARG00000077314	mblac1	SIGNIFICANT
Dr.12878.3.A1_a_at	1.1099694859809	4.16647138691782	21.8902518593392	1.83650949945479e-06	0.00537729981440362	5.07442129931491	ENSDARG00000105243	ogt.1	SIGNIFICANT
Dr.12134.1.A1_a_at	1.09934404653039	4.85289819440109	20.9785938764202	2.30308363164761e-06	0.00539474309877136	4.95209427960268	ENSDARG00000102902	strn4	SIGNIFICANT
Dr.538.1.S1_at	0.75610863647923	7.44424419158299	17.0281600022742	6.96779314492095e-06	0.0136011322188857	4.27332168627531	ENSDARG00000071684	rx1	SIGNIFICANT
Dr.20429.1.S1_at	0.567497363863887	5.84478390666032	15.5769736625095	1.11550158548988e-05	0.0167101547534549	3.94478630673256	ENSDARG00000045167	dlgap5	SIGNIFICANT
Dr.10259.1.S1_at	0.544259466065136	10.3025949056431	15.5093273221748	1.14140401321413e-05	0.0167101547534549	3.92816767980647	ENSDARG00000014571	ctnnb1	SIGNIFICANT
Dr.25553.1.A1_at	0.555593310125859	3.61259032996311	15.0747857440062	1.32584808526104e-05	0.0172537030828636	3.8183922816303	ENSDARG00000002235	mmp14a	SIGNIFICANT
Dr.4268.1.S1_at	0.531731662312891	5.11679554299851	14.2448951739734	1.78605644629493e-05	0.0209182930990062	3.59328567188325	ENSDARG00000055504	si:ch211-212k18.7	SIGNIFICANT
Dr.20794.1.A1_at	-0.865686889189086	3.09314069366286	-12.9629402970362	2.9286027965644e-05	0.0304790638499746	3.20056962036426	ENSDARG00000088959	pdxka	SIGNIFICANT
Dr.12526.2.S1_at	0.797094753648067	7.2465627168868	12.5118664813186	3.52410577626318e-05	0.0304790638499746	3.04770523812354	ENSDARG00000028971	cpsf2	SIGNIFICANT
Dr.25673.2.S1_at	-0.630483289203985	9.55860885863944	-12.500689567117	3.54058786135088e-05	0.0304790638499746	3.04381194137193	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.24599.1.S1_at	0.718475644548098	4.51808255179656	12.4323742204193	3.64333071977156e-05	0.0304790638499746	3.01990149801365	ENSDARG00000043046	fbxl5	SIGNIFICANT
Dr.6112.1.A1_at	-0.672485378089015	8.73797904862648	-11.8894062442086	4.598173974386e-05	0.030531787843248	2.8226779848315	ENSDARG00000008480	trmt61a	SIGNIFICANT
Dr.18076.1.A1_at	-0.569539158893264	8.13788945082534	-11.8360269673659	4.70712762372107e-05	0.030531787843248	2.80257634144	ENSDARG00000076334	mrpl43	SIGNIFICANT
Dr.12291.1.A1_at	-0.98802804549844	6.46418237966824	-11.8285331653826	4.72266603698076e-05	0.030531787843248	2.79974378717067	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.16269.1.A1_at	-0.419611764214954	9.72397453744312	-11.7794542363778	4.82594084461337e-05	0.030531787843248	2.78112818586341	ENSDARG00000062361	PAXBP1	SIGNIFICANT
Dr.17792.2.A1_at	-0.998790296047017	10.242907566547	-11.6558544232873	5.09805897312336e-05	0.030531787843248	2.7337469130808	ENSDARG00000086269	ndst2a	SIGNIFICANT
Dr.2671.1.S1_at	0.463032454585427	7.43570080681774	11.6056380391112	5.21376158525409e-05	0.030531787843248	2.71428993431409	ENSDARG00000034600	tmem165	SIGNIFICANT
Dr.10453.1.S1_at	-1.24827053588124	5.83311733984944	-11.1631599209905	6.37927492989218e-05	0.0331575711198056	2.53751230965259	ENSDARG00000069552	atoh7	SIGNIFICANT
Dr.3746.1.A1_x_at	-0.412402401713664	5.9199517815949	-11.0864630403146	6.61129632227659e-05	0.0331575711198056	2.50586699134992	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.9892.2.S1_at	1.18859427925273	6.60560570675545	11.0754842988814	6.64531695159139e-05	0.0331575711198056	2.50131219562454	ENSDARG00000077314	mblac1	SIGNIFICANT
Dr.1882.1.S1_at	0.481643654169034	9.0053230031571	10.9915157748125	6.91245628280968e-05	0.0331575711198056	2.4662673755892	ENSDARG00000024209	wasf2	SIGNIFICANT
Dr.8388.1.S1_at	-0.586675285747668	9.97705804623842	-10.9414706339304	7.07769192277271e-05	0.0331575711198056	2.44520399851591	ENSDARG00000007989	nedd8	SIGNIFICANT
Dr.10192.1.A1_at	-0.597852245059666	7.60183183959292	-10.6972931554697	7.95388330053827e-05	0.0342891677715071	2.34050137741349	ENSDARG00000043313	ank2b	SIGNIFICANT
Dr.18434.1.A1_at	-0.491883855009089	6.88060088024529	-10.6768591277799	8.03284402398093e-05	0.0342891677715071	2.33159150488631	ENSDARG00000109077	CABZ01078607.1	SIGNIFICANT
Dr.16197.1.A1_at	-0.870603939195587	4.20465408505627	-10.4877483846897	8.8091940360965e-05	0.0342891677715071	2.24802334830863	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.8658.1.A1_at	-0.819372308859161	9.02403914500308	-10.41992833364	9.10892915460807e-05	0.0342891677715071	2.21755817982613	ENSDARG00000005576	mphosph8	SIGNIFICANT
Dr.6136.1.A1_at	-1.12551535097974	4.3761774397096	-10.4190732450918	9.11278429066841e-05	0.0342891677715071	2.21717237593542	ENSDARG00000098761	rgs2	SIGNIFICANT
Dr.26392.2.S1_at	0.568079113232921	7.56083469806101	10.3489257676644	9.43569212489994e-05	0.0342891677715071	2.18537814068279	ENSDARG00000027689	pold1	SIGNIFICANT
Dr.23612.1.A1_at	-0.646506463253699	6.48853066058221	-10.2613809539025	9.85778901485434e-05	0.0342891677715071	2.1452940863938	ENSDARG00000069185	celsr1a	SIGNIFICANT
Dr.12760.1.A1_at	-0.417438072870792	4.21493066991552	-10.1674239679815	0.000103357824479155	0.0342891677715071	2.10176750991164	ENSDARG00000022509	cox4i2	SIGNIFICANT
Dr.12070.1.A1_at	-0.541926183793958	7.90390195982937	-10.0536098434314	0.000109518460607907	0.0342891677715071	2.04832797821497	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.18643.1.A1_at	-2.64088912440121	7.55387279408114	-10.0004246648141	0.000112545031031923	0.0342891677715071	2.02308374005967	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.4041.1.A1_at	-0.584583090754119	8.88993302380252	-9.9959402824391	0.000112804693798776	0.0342891677715071	2.02094724146901	ENSDARG00000030213	sap30l	SIGNIFICANT
Dr.14140.1.S1_at	-0.389438081596047	9.47880351567056	-9.99366153576283	0.000112936912171279	0.0342891677715071	2.01986109795249	ENSDARG00000095451	si:ch211-196l7.4	SIGNIFICANT
Dr.11692.1.S1_at	0.681743959023943	6.48849108009062	9.98887107057308	0.00011321546201981	0.0342891677715071	2.01757671591075	ENSDARG00000017105	vaspb	SIGNIFICANT
Dr.7935.1.S1_at	0.395453204454274	6.53797658808414	9.96975478847573	0.000114335096691313	0.0342891677715071	2.00844671664518	ENSDARG00000009745	fbxw2	SIGNIFICANT
Dr.17144.1.A1_at	0.536851318571254	6.57701341888351	9.84214965466348	0.000122152104373769	0.0342891677715071	1.94691520021532	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.10389.1.A1_at	-0.907501755875268	5.10281879348693	-9.80769250706737	0.000124369725426105	0.0342891677715071	1.93012306153236	ENSDARG00000056656	tspan18a	SIGNIFICANT
Dr.11990.1.A1_at	-0.551359401017711	6.40047034602151	-9.75620815914797	0.000127772151083693	0.0342891677715071	1.90489121708897	ENSDARG00000005374	tubgcp4	SIGNIFICANT
Dr.5348.1.S1_at	0.613525074059742	9.39351608934239	9.75498310064821	0.000127854436139684	0.0342891677715071	1.9042887519437	ENSDARG00000020311	cnih1	SIGNIFICANT
Dr.12295.3.A1_at	0.439490158294995	7.51362819537697	9.7384927359421	0.000128968159033389	0.0342891677715071	1.8961695988622	ENSDARG00000063627	bop1	SIGNIFICANT
Dr.6958.1.S1_at	0.748395253443612	4.47922975156615	9.69747194225789	0.000131788514911143	0.0342891677715071	1.87589620342399	ENSDARG00000000442	slc39a13	SIGNIFICANT
Dr.5923.1.S1_at	-0.766585580830339	5.47863705371866	-9.65655979536771	0.00013467398544137	0.0342891677715071	1.85556720049199	ENSDARG00000069815	dnali1	SIGNIFICANT
Dr.25421.1.S1_at	0.648186839729253	4.93931174325333	9.58652206108218	0.000139788126369196	0.0346224785987967	1.820510311739	ENSDARG00000060917	anln	SIGNIFICANT
Dr.4371.2.S1_at	0.623569495273029	7.61599549657022	9.55300765385735	0.000142316012969321	0.0346224785987967	1.8036198499479	ENSDARG00000074431	ddb1	SIGNIFICANT
Dr.10545.1.S1_at	-0.672384673614237	7.48002871006479	-9.52008812771121	0.000144851558345376	0.0346224785987967	1.78695612593114	ENSDARG00000019438	rnf13	SIGNIFICANT
Dr.20398.1.A1_x_at	-0.326743800765119	7.8735451625773	-9.27772474143934	0.000165247855359476	0.0352322544356636	1.66200433152864	ENSDARG00000030514	acsl1a	SIGNIFICANT
Dr.16728.1.A1_at	0.679892542460232	6.62284529980258	9.27232732822798	0.00016573918736364	0.0352322544356636	1.65917546743791	ENSDARG00000059775	slc32a1	SIGNIFICANT
Dr.11567.1.S1_at	0.842839843689865	6.91659314610957	9.2637341196708	0.000166524986008134	0.0352322544356636	1.65466742559976	ENSDARG00000102394	ap1g1	SIGNIFICANT
Dr.12878.1.S1_at	0.621142776723488	6.5396203180364	9.25880877138317	0.000166977355688591	0.0352322544356636	1.65208122587742	ENSDARG00000099455	ogt.2	SIGNIFICANT
Dr.7123.1.A1_at	-0.366771169818683	6.95230417776317	-9.23990401750525	0.000168727140232098	0.0352322544356636	1.64213888848503	ENSDARG00000023578	lpp	SIGNIFICANT
Dr.14827.1.A1_at	-0.685655154910376	8.57754364480663	-9.1884444776713	0.000173600468637068	0.0352322544356636	1.61494758216652	ENSDARG00000061004	cox11	SIGNIFICANT
Dr.22788.1.A1_at	0.357208446956233	7.89044354903652	9.16091625415094	0.000176275345678369	0.0352322544356636	1.60032442076277	ENSDARG00000040991	cttnbp2	SIGNIFICANT
Dr.9682.1.A1_at	-1.68088117394694	4.35738979726578	-9.12597610048906	0.000179740546385166	0.0352322544356636	1.58168599339551	ENSDARG00000069381	si:ch211-125e6.5	SIGNIFICANT
Dr.23861.1.A1_at	0.783784213588845	8.70019906982847	9.08726036776264	0.000183674153062431	0.0352322544356636	1.56093102143294	ENSDARG00000014101	pyroxd2	SIGNIFICANT
Dr.3328.2.S1_a_at	-0.43726121932831	8.1684346081649	-9.08717391521016	0.000183683049432542	0.0352322544356636	1.5608845543142	ENSDARG00000038566	gnptg	SIGNIFICANT
DrAffx.2.70.A1_s_at	-0.34257253259651	11.1835054171642	-9.07311491009724	0.000185136550756055	0.0352322544356636	1.55332082174205	ENSDARG00000070545	top1l	SIGNIFICANT
Dr.2921.1.A1_at	0.95394611711905	6.3596606543854	9.03155565080593	0.000189512922746502	0.0352322544356636	1.53087801327207	ENSDARG00000004173	copa	SIGNIFICANT
Dr.5274.1.S1_at	-0.308048916655213	10.2943499118877	-9.00697305412225	0.000192158814653675	0.0352322544356636	1.51754359742713	ENSDARG00000042534	rsrc2	SIGNIFICANT
Dr.4412.18.A1_at	-0.586740848151318	6.65246908153439	-8.98873179071115	0.000194150263383453	0.0352322544356636	1.50762028509111	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.7744.1.S1_at	0.668799203544392	4.88789924190379	8.97958244279589	0.000195158254536329	0.0352322544356636	1.50263378959509	ENSDARG00000015922	zgc:153952	SIGNIFICANT
Dr.20020.1.S1_at	0.430842071385758	5.18289505363132	8.97618427846833	0.00019553419896842	0.0352322544356636	1.50078018147894	ENSDARG00000058203	smc1al	SIGNIFICANT
Dr.16489.1.A1_at	-0.622613144317611	7.06401149525015	-8.94581466938657	0.000198932113973201	0.0353014078614263	1.48417648801827	ENSDARG00000018411	mknk1	SIGNIFICANT
Dr.17792.1.S1_at	-0.769287826429932	7.2425888915628	-8.91777865594549	0.000202130697488731	0.0353336526714629	1.46878791781066	ENSDARG00000086269	ndst2a	SIGNIFICANT
Dr.16674.1.S1_at	0.422957225635854	8.68296227543672	8.85137569338712	0.000209950732548781	0.0359897766150493	1.43210611407195	ENSDARG00000026701	gtf2h1	SIGNIFICANT
Dr.13976.1.A1_at	-0.354489596250723	7.94568925071896	-8.81990756646231	0.000213780505352368	0.0359897766150493	1.41460689474139	ENSDARG00000074490	casc4	SIGNIFICANT
Dr.12916.1.A1_at	-0.490468505549486	5.92986684728786	-8.80919594976183	0.000215102831544864	0.0359897766150493	1.40863313295199	ID_NOT_FOUND	GENE_NAME_NOT_FOUND	SIGNIFICANT
Dr.10742.2.S1_a_at	-0.403414458424871	7.86300037074391	-8.7841566228472	0.000218231557598527	0.0359989859520274	1.3946349332382	ENSDARG00000102937	hspbp1	SIGNIFICANT
Dr.23570.1.A1_at	0.624446624338527	4.10520326203649	8.74708652995628	0.000222962305294796	0.0362685349946202	1.37382308757423	ENSDARG00000031126	notum1a	SIGNIFICANT
Dr.12138.1.S1_at	0.364588221137877	6.06024156072451	8.6911474826647	0.00023033114845661	0.036953950831833	1.3422179347178	ENSDARG00000103155	ext1a	SIGNIFICANT
Dr.26486.1.S1_at	-0.915521750865766	5.87260945378159	-8.61751623705858	0.00024047134066579	0.0372267020284481	1.30024663192193	ENSDARG00000025187	six6a	SIGNIFICANT
Dr.13582.1.A1_at	-0.417186676414451	9.12659379067665	-8.57470812513667	0.000246607625042675	0.0372267020284481	1.27564976684513	ENSDARG00000005590	mtf2	SIGNIFICANT
Dr.17354.1.S1_at	-0.675983329516133	9.26202821702622	-8.56223927207689	0.000248429420888795	0.0372267020284481	1.26845814042323	ENSDARG00000090568	mrpl52	SIGNIFICANT
Dr.578.2.S1_a_at	-0.455960523969096	7.20606393119763	-8.5535170824604	0.000249713198984644	0.0372267020284481	1.26342013973516	ENSDARG00000039117	tefa	SIGNIFICANT
Dr.12878.1.S1_x_at	0.51763583508594	6.84687658568457	8.54376781128306	0.000251157381014469	0.0372267020284481	1.25778173732267	ENSDARG00000099455	ogt.2	SIGNIFICANT
Dr.26515.1.S1_at	0.567402382667139	8.47591388953146	8.53003982619858	0.000253207604542117	0.0372267020284481	1.2498294578456	ENSDARG00000093406	zgc:111986	SIGNIFICANT
Dr.16578.1.A1_at	-0.577564680350548	7.94282721768764	-8.52290614381157	0.000254280751560438	0.0372267020284481	1.24569116130482	ENSDARG00000036903	irak1bp1	SIGNIFICANT
Dr.18401.1.S1_x_at	0.843353010515664	6.35484291776056	8.49697342153583	0.000258227171813574	0.0373377362503775	1.23061314120097	ENSDARG00000046127	tk2	SIGNIFICANT
Dr.25404.1.S1_at	0.759025286874165	7.53019178958043	8.45783352281783	0.000264320502819277	0.0374964011829467	1.20775385471859	ENSDARG00000052348	smarca5	SIGNIFICANT
Dr.14834.1.A1_at	-0.367810958174034	9.21604595377918	-8.43266939571793	0.000268327273178884	0.0374964011829467	1.19299168193146	ENSDARG00000043177	lsm1	SIGNIFICANT
Dr.5286.1.S1_at	0.426132982569977	5.20193825497047	8.42892776830153	0.000268929106844905	0.0374964011829467	1.19079232777163	ENSDARG00000059806	sacm1lb	SIGNIFICANT
Dr.1149.1.A1_a_at	0.601342359639962	12.9051956035087	8.39150731380567	0.0002750361347719	0.0375051092527364	1.16873367197972	ENSDARG00000036162	hnrnpa0b	SIGNIFICANT
